yolo_input.conv.weights                            backbone.conv0.conv.weight                        
stage.3.6.1.bn.scale                               backbone.stage.3.stage.3.6.conv2.batch_norm.weight
stage.3.6.1.bn.offset                              backbone.stage.3.stage.3.6.conv2.batch_norm.bias  
stage.3.6.1.bn.mean                                backbone.stage.3.stage.3.6.conv2.batch_norm._mean 
stage.3.6.1.bn.var                                 backbone.stage.3.stage.3.6.conv2.batch_norm._variance
stage.3.7.0.conv.weights                           backbone.stage.3.stage.3.7.conv1.conv.weight      
stage.3.7.0.bn.scale                               backbone.stage.3.stage.3.7.conv1.batch_norm.weight
stage.3.7.0.bn.offset                              backbone.stage.3.stage.3.7.conv1.batch_norm.bias  
stage.3.7.0.bn.mean                                backbone.stage.3.stage.3.7.conv1.batch_norm._mean 
stage.3.7.0.bn.var                                 backbone.stage.3.stage.3.7.conv1.batch_norm._variance
stage.3.7.1.conv.weights                           backbone.stage.3.stage.3.7.conv2.conv.weight      
stage.3.7.1.bn.scale                               backbone.stage.3.stage.3.7.conv2.batch_norm.weight
stage.3.7.1.bn.offset                              backbone.stage.3.stage.3.7.conv2.batch_norm.bias  
stage.3.7.1.bn.mean                                backbone.stage.3.stage.3.7.conv2.batch_norm._mean 
stage.3.7.1.bn.var                                 backbone.stage.3.stage.3.7.conv2.batch_norm._variance
stage.3.downsample.conv.weights                    backbone.stage.3.downsample.conv_bn_layer.conv.weight
stage.3.downsample.bn.scale                        backbone.stage.3.downsample.conv_bn_layer.batch_norm.weight
stage.3.downsample.bn.offset                       backbone.stage.3.downsample.conv_bn_layer.batch_norm.bias
stage.3.downsample.bn.mean                         backbone.stage.3.downsample.conv_bn_layer.batch_norm._mean
stage.3.downsample.bn.var                          backbone.stage.3.downsample.conv_bn_layer.batch_norm._variance
stage.4.0.0.conv.weights                           backbone.stage.4.basicblock0.conv1.conv.weight    
stage.4.0.0.bn.scale                               backbone.stage.4.basicblock0.conv1.batch_norm.weight
stage.4.0.0.bn.offset                              backbone.stage.4.basicblock0.conv1.batch_norm.bias
stage.4.0.0.bn.mean                                backbone.stage.4.basicblock0.conv1.batch_norm._mean
stage.4.0.0.bn.var                                 backbone.stage.4.basicblock0.conv1.batch_norm._variance
stage.4.0.1.conv.weights                           backbone.stage.4.basicblock0.conv2.conv.weight    
stage.4.0.1.bn.scale                               backbone.stage.4.basicblock0.conv2.batch_norm.weight
stage.4.0.1.bn.offset                              backbone.stage.4.basicblock0.conv2.batch_norm.bias
stage.4.0.1.bn.mean                                backbone.stage.4.basicblock0.conv2.batch_norm._mean
stage.4.0.1.bn.var                                 backbone.stage.4.basicblock0.conv2.batch_norm._variance
stage.4.1.0.conv.weights                           backbone.stage.4.stage.4.1.conv1.conv.weight      
stage.4.1.0.bn.scale                               backbone.stage.4.stage.4.1.conv1.batch_norm.weight
stage.4.1.0.bn.offset                              backbone.stage.4.stage.4.1.conv1.batch_norm.bias  
stage.4.1.0.bn.mean                                backbone.stage.4.stage.4.1.conv1.batch_norm._mean 
stage.4.1.0.bn.var                                 backbone.stage.4.stage.4.1.conv1.batch_norm._variance
stage.4.1.1.conv.weights                           backbone.stage.4.stage.4.1.conv2.conv.weight      
stage.4.1.1.bn.scale                               backbone.stage.4.stage.4.1.conv2.batch_norm.weight
stage.4.1.1.bn.offset                              backbone.stage.4.stage.4.1.conv2.batch_norm.bias  
stage.4.1.1.bn.mean                                backbone.stage.4.stage.4.1.conv2.batch_norm._mean 
stage.4.1.1.bn.var                                 backbone.stage.4.stage.4.1.conv2.batch_norm._variance
stage.4.2.0.conv.weights                           backbone.stage.4.stage.4.2.conv1.conv.weight      
stage.4.2.0.bn.scale                               backbone.stage.4.stage.4.2.conv1.batch_norm.weight
stage.4.2.0.bn.offset                              backbone.stage.4.stage.4.2.conv1.batch_norm.bias  
stage.4.2.0.bn.mean                                backbone.stage.4.stage.4.2.conv1.batch_norm._mean 
stage.4.2.0.bn.var                                 backbone.stage.4.stage.4.2.conv1.batch_norm._variance
stage.4.2.1.conv.weights                           backbone.stage.4.stage.4.2.conv2.conv.weight      
stage.4.2.1.bn.scale                               backbone.stage.4.stage.4.2.conv2.batch_norm.weight
stage.4.2.1.bn.offset                              backbone.stage.4.stage.4.2.conv2.batch_norm.bias  
stage.4.2.1.bn.mean                                backbone.stage.4.stage.4.2.conv2.batch_norm._mean 
stage.4.2.1.bn.var                                 backbone.stage.4.stage.4.2.conv2.batch_norm._variance
stage.4.3.0.conv.weights                           backbone.stage.4.stage.4.3.conv1.conv.weight      
stage.4.3.0.bn.scale                               backbone.stage.4.stage.4.3.conv1.batch_norm.weight
stage.4.3.0.bn.offset                              backbone.stage.4.stage.4.3.conv1.batch_norm.bias  
stage.4.3.0.bn.mean                                backbone.stage.4.stage.4.3.conv1.batch_norm._mean 
stage.4.3.0.bn.var                                 backbone.stage.4.stage.4.3.conv1.batch_norm._variance
stage.4.3.1.conv.weights                           backbone.stage.4.stage.4.3.conv2.conv.weight      
stage.4.3.1.bn.scale                               backbone.stage.4.stage.4.3.conv2.batch_norm.weight
stage.4.3.1.bn.offset                              backbone.stage.4.stage.4.3.conv2.batch_norm.bias  
stage.4.3.1.bn.mean                                backbone.stage.4.stage.4.3.conv2.batch_norm._mean 
stage.4.3.1.bn.var                                 backbone.stage.4.stage.4.3.conv2.batch_norm._variance
yolo_block.0.0.0.conv.weights                      neck.yolo_block.0.conv_module.conv0.conv.weight   
yolo_block.0.0.0.bn.scale                          neck.yolo_block.0.conv_module.conv0.batch_norm.weight
yolo_block.0.0.0.bn.offset                         neck.yolo_block.0.conv_module.conv0.batch_norm.bias
yolo_block.0.0.0.bn.mean                           neck.yolo_block.0.conv_module.conv0.batch_norm._mean
yolo_block.0.0.0.bn.var                            neck.yolo_block.0.conv_module.conv0.batch_norm._variance
yolo_block.0.0.1.conv.weights                      neck.yolo_block.0.conv_module.conv1.conv.weight   
yolo_block.0.0.1.bn.scale                          neck.yolo_block.0.conv_module.conv1.batch_norm.weight
yolo_block.0.0.1.bn.offset                         neck.yolo_block.0.conv_module.conv1.batch_norm.bias
yolo_block.0.0.1.bn.mean                           neck.yolo_block.0.conv_module.conv1.batch_norm._mean
yolo_block.0.0.1.bn.var                            neck.yolo_block.0.conv_module.conv1.batch_norm._variance
yolo_block.0.1.0.conv.weights                      neck.yolo_block.0.conv_module.conv2.conv.weight   
yolo_block.0.1.0.bn.scale                          neck.yolo_block.0.conv_module.conv2.batch_norm.weight
yolo_block.0.1.0.bn.offset                         neck.yolo_block.0.conv_module.conv2.batch_norm.bias
yolo_block.0.1.0.bn.mean                           neck.yolo_block.0.conv_module.conv2.batch_norm._mean
yolo_block.0.1.0.bn.var                            neck.yolo_block.0.conv_module.conv2.batch_norm._variance
yolo_block.0.1.1.conv.weights                      neck.yolo_block.0.conv_module.conv3.conv.weight   
yolo_block.0.1.1.bn.scale                          neck.yolo_block.0.conv_module.conv3.batch_norm.weight
yolo_block.0.1.1.bn.offset                         neck.yolo_block.0.conv_module.conv3.batch_norm.bias
yolo_block.0.1.1.bn.mean                           neck.yolo_block.0.conv_module.conv3.batch_norm._mean
yolo_block.0.1.1.bn.var                            neck.yolo_block.0.conv_module.conv3.batch_norm._variance
